Month,Division,PEMT Transports,Average Transport Charge,Direct Cost Per Transport,Total Operational Cost,PEMT Supplemental Revenue,Average Dispatch Delay (sec),Chute Time Duration (min),Direct Transport Time (min),Scene Care Time (min)
July 2024,East Division,217,958,650,141050,57277,39,1.7,12.3,16.4
July 2024,East Division,205,906,616,126280,38965,34,1.9,12.5,19.1
July 2024,North Division,184,908,496,91264,56151,52,2.2,16.9,17
July 2024,South Division,134,719,492,65928,21312,58,2,19.1,18.8
July 2024,South Division,122,804,485,59170,27427,60,2,16.9,15.9
July 2024,West Division,73,889,728,53144,13811,78,1.7,25.7,13.2
August 2024,East Division,203,926,633,128499,46002,35,1.7,11.5,20.8
August 2024,East Division,193,947,573,110589,47493,46,1.6,11.9,19.4
August 2024,North Division,166,915,582,96612,46503,46,1.8,11.8,19
August 2024,North Division,165,823,551,90915,35345,39,1.6,14.9,16.9
August 2024,South Division,116,754,458,53128,26418,55,2.6,15.3,16.7
September 2024,East Division,121,903,627,75867,30001,45,1.4,11.8,21.8
September 2024,East Division,156,846,562,87672,37694,33,1.3,10.5,18
September 2024,East Division,150,958,616,92400,31786,31,1.6,12.5,19.6
September 2024,North Division,107,928,499,53393,31149,40,2,14.1,19.6
September 2024,North Division,104,934,590,61360,25632,47,1.5,14.9,19.7
September 2024,South Division,72,771,454,32688,12277,49,1.7,16,16.8
September 2024,South Division,82,750,500,41000,19022,41,1.7,13.1,17
September 2024,West Division,69,978,667,46023,20409,49,2.4,23.6,14
October 2024,South Division,67,791,509,34103,13253,60,1.7,18.6,15.6
October 2024,South Division,91,784,513,46683,21969,56,2.3,16.1,14.2
October 2024,West Division,58,962,635,36830,16826,81,2.9,20.2,16.7
November 2024,Metro Central,275,1064,637,175175,81643,36,1.4,9.3,23.3
November 2024,South Division,84,711,492,41328,17771,49,1.8,16.6,15.7
November 2024,South Division,90,736,434,39060,19101,43,1.5,14.5,17.6
November 2024,South Division,73,773,427,31171,13431,48,2.5,13.2,18.2
November 2024,West Division,63,878,726,45738,10490,58,2.2,24.3,16.4
December 2024,Metro Central,449,1151,723,324627,133536,31,1.2,9.6,22.7
December 2024,Metro Central,395,1064,684,270180,128746,30,1.4,8.5,20
December 2024,North Division,158,819,502,79316,39455,39,2.3,13.7,15.6
December 2024,North Division,137,824,572,78364,25461,37,2.2,14.7,20.3
December 2024,South Division,117,749,504,58968,18722,58,2.3,14.7,15.1
January 2025,East Division,197,987,586,115442,46995,36,1.9,10.7,21.1
January 2025,Metro Central,376,1128,696,261696,105943,37,1.3,7.4,19.2
January 2025,West Division,96,1039,654,62784,22548,60,2.9,21.9,16.7
January 2025,West Division,81,967,629,50949,24386,64,2,23.8,13.1
January 2025,West Division,75,1015,692,51900,17928,69,2.6,23.6,15.2
February 2025,East Division,142,892,629,89318,27025,43,1.6,9.3,20.8
February 2025,Metro Central,256,1142,746,190976,83609,25,1.3,9.5,22.4
February 2025,North Division,87,833,610,53070,20551,51,1.6,12.7,17.7
February 2025,North Division,96,928,495,47520,20559,42,1.8,12.8,16.8
February 2025,North Division,92,782,491,45172,21403,49,1.3,16.3,16.5
February 2025,South Division,88,744,429,37752,18966,44,1.9,18.7,15.4
February 2025,South Division,103,729,475,48925,19574,44,2.7,15.9,17.9
February 2025,West Division,62,982,776,48112,15774,60,3,26.6,15.3
March 2025,Metro Central,341,1195,639,217899,96149,23,1.6,8.5,19.3
March 2025,North Division,97,934,547,53059,22253,52,2.2,12.5,20.3
April 2025,East Division,125,882,650,81250,28429,36,1.5,11.2,17.8
April 2025,Metro Central,233,1084,621,144693,83782,26,0.9,8.5,22.7
April 2025,Metro Central,313,1043,638,199694,83793,23,1.4,8.7,23.9
April 2025,North Division,97,874,505,48985,19007,51,2,13,19.9
May 2025,Metro Central,262,999,724,189688,70344,34,1.4,9,23.9
May 2025,Metro Central,215,1005,695,149425,49378,28,1.5,7.7,25
May 2025,Metro Central,261,1126,748,195228,81164,35,1.1,9.4,22.9
May 2025,Metro Central,244,1001,716,174704,68039,28,1.3,9.7,25.4
May 2025,South Division,90,722,508,45720,18318,50,2,17.5,15
May 2025,West Division,54,862,753,40662,12129,56,1.8,20.6,13.2
