State,Provider,Year,Section,Bucket,Group,Subgroup,Line Item,Quarter,Value,Type
FL,"Duval County Fire Rescue",2023,Trips,"Salaries","Capital Related",Dedicated,"Administrative",Qtr 1,2831982,Budget
FL,"Pinellas County Fire Rescue",2023,Allocation Statistics,"Medicare","Administration and General",Shared,"Fines and Penalties",Qtr 3,31712,Actual
FL,"Miami-Dade Fire Rescue",2023,Revenues,"Capital Related","MTS",Dedicated,"All Trips",Full Year,53013882,Forecast
FL,"Orange County Fire Rescue",2023,Allocation Statistics,"Medicare","Capital Related",Shared,"Administrative",Qtr 2,1385379,Forecast
FL,"Pinellas County Fire Rescue",2023,Totals,"Capital Related","MTS",Dedicated,"Administrative",Qtr 4,1330224,Actual
FL,"Orange County Fire Rescue",2023,Revenues,"Medicare","Capital Related",Dedicated,"Administrative",Qtr 3,3745840.8,Actual
FL,"Duval County Fire Rescue",2023,Revenues,"Salaries","Administration and General",Shared,"Private Insurance",Qtr 3,812654,Budget
FL,"Broward County Fire Rescue",2023,Allocation Statistics,"Workers Comp","Non-MTS",Shared,"Training",Qtr 4,12351,Forecast
FL,"Palm Beach County Fire Rescue",2023,Allocation Statistics,"Workers Comp","MTS",Shared,"Fines and Penalties",Qtr 2,8843,Forecast
FL,"Pinellas County Fire Rescue",2023,Revenues,"Medicaid Fee For Service Revenue from Transports","Salaries",Shared,"Medicare HMO",Qtr 3,14885664.53,Actual
FL,"Duval County Fire Rescue",2023,Revenues,"Salaries","MTS",Dedicated,"Administrative",Qtr 4,367221,Forecast
FL,"Broward County Fire Rescue",2023,Trips,"Totals","Capital Related",Dedicated,"Hours Logged for MTS Duty",Qtr 1,2946436,Actual
FL,"Pinellas County Fire Rescue",2023,Revenues,"Totals","Non-MTS",Dedicated,"Property Taxes",Qtr 4,39793862.1,Budget
FL,"Pinellas County Fire Rescue",2023,Revenues,"Salaries","Non-MTS",Dedicated,"Minor Equipment",Qtr 4,6787,Budget
FL,"Palm Beach County Fire Rescue",2023,Revenues,"Capital Related","Non-MTS",Dedicated,"Leases and Rentals",Qtr 1,30418,Forecast
FL,"Duval County Fire Rescue",2023,Totals,"Medicaid Fee For Service Revenue from Transports","Non-MTS",Shared,"Training",Full Year,36327,Actual
FL,"Pinellas County Fire Rescue",2023,Totals,"Workers Comp","Salaries",Shared,"Medicaid FFS",Qtr 4,40474282,Budget
FL,"Pinellas County Fire Rescue",2023,Trips,"Capital Related","Non-MTS",Dedicated,"Fines and Penalties",Qtr 1,21118,Actual
FL,"Hillsborough County Fire Rescue",2023,Allocation Statistics,"Medicaid MCO","Salaries",Shared,"Medicaid MTS Costs",Qtr 1,1446090,Actual
FL,"Miami-Dade Fire Rescue",2023,Totals,"Medicare","MTS",Shared,"Minor Equipment",Full Year,35903,Forecast
FL,"Palm Beach County Fire Rescue",2023,Trips,"Medicaid Fee For Service Revenue from Transports","Administration and General",Dedicated,"Medicare HMO",Qtr 4,58250305.74,Actual
FL,"Palm Beach County Fire Rescue",2023,Totals,"Workers Comp","MTS",Shared,"All Trips",Full Year,39421491,Budget
FL,"Palm Beach County Fire Rescue",2023,Totals,"Workers Comp","Administration and General",Dedicated,"Logistics",Full Year,1672027.13,Actual
FL,"Duval County Fire Rescue",2023,Revenues,"Medicaid Fee For Service Revenue from Transports","Administration and General",Dedicated,"Property Taxes",Qtr 3,27880679,Actual
FL,"Broward County Fire Rescue",2023,Totals,"Capital Related","Capital Related",Dedicated,"Fines and Penalties",Qtr 2,37774,Actual
FL,"Miami-Dade Fire Rescue",2023,Trips,"Salaries","MTS",Dedicated,"Fines and Penalties",Full Year,36910,Actual
FL,"Palm Beach County Fire Rescue",2023,Totals,"Capital Related","Administration and General",Dedicated,"Leases and Rentals",Qtr 2,24887,Actual
FL,"Hillsborough County Fire Rescue",2023,Trips,"Medicaid Fee For Service Revenue from Transports","Administration and General",Shared,"Hours Logged for MTS Duty",Qtr 1,3356441,Forecast
FL,"Orange County Fire Rescue",2023,Revenues,"Capital Related","MTS",Shared,"Property Taxes",Qtr 1,9964785,Actual
FL,"Duval County Fire Rescue",2023,Totals,"Medicaid Fee For Service Revenue from Transports","Capital Related",Shared,"Hours Logged for MTS Duty",Qtr 2,207060.73,Budget
FL,"Duval County Fire Rescue",2023,Revenues,"Capital Related","Non-MTS",Shared,"Training",Qtr 3,41810,Actual
FL,"Miami-Dade Fire Rescue",2023,Trips,"Medicaid Fee For Service Revenue from Transports","Salaries",Shared,"Property Taxes",Qtr 4,41022842.47,Budget
FL,"Miami-Dade Fire Rescue",2023,Allocation Statistics,"Totals","MTS",Shared,"Leases and Rentals",Qtr 4,31977,Actual
